x,y
399315,4435195
399345,4435195
399375,4435195
399405,4435195
399435,4435195
399465,4435195
399495,4435195
399525,4435195
399555,4435195
399585,4435195
399615,4435195
399645,4435195
399675,4435195
399705,4435195
399735,4435195
399765,4435195
399795,4435195
399825,4435195
399855,4435195
399885,4435195
399915,4435195
399945,4435195
399975,4435195
400005,4435195
393015,4435225
393045,4435225
393075,4435225
393105,4435225
393135,4435225
393165,4435225
393195,4435225
393225,4435225
393255,4435225
393285,4435225
393315,4435225
393345,4435225
393375,4435225
393405,4435225
393435,4435225
393465,4435225
393495,4435225
393525,4435225
393555,4435225
393585,4435225
393615,4435225
393645,4435225
393675,4435225
393705,4435225
393735,4435225
393765,4435225
393795,4435225
393825,4435225
393855,4435225
393885,4435225
393915,4435225
393945,4435225
393975,4435225
394005,4435225
394035,4435225
394065,4435225
394095,4435225
394125,4435225
394155,4435225
394185,4435225
394215,4435225
394245,4435225
394275,4435225
394305,4435225
394335,4435225
394365,4435225
394395,4435225
394425,4435225
394455,4435225
394485,4435225
394515,4435225
394545,4435225
394575,4435225
394605,4435225
394635,4435225
394665,4435225
394695,4435225
394725,4435225
394755,4435225
394785,4435225
394815,4435225
394845,4435225
394875,4435225
394905,4435225
394935,4435225
394965,4435225
394995,4435225
395025,4435225
395055,4435225
395085,4435225
395115,4435225
395145,4435225
395175,4435225
395205,4435225
395235,4435225
395265,4435225
395295,4435225
395325,4435225
395355,4435225
395385,4435225
395415,4435225
395445,4435225
395475,4435225
395505,4435225
395535,4435225
395565,4435225
395595,4435225
395625,4435225
395655,4435225
395685,4435225
395715,4435225
395745,4435225
395775,4435225
395805,4435225
395835,4435225
395865,4435225
395895,4435225
395925,4435225
395955,4435225
395985,4435225
396015,4435225
396045,4435225
396075,4435225
396105,4435225
396135,4435225
396165,4435225
396195,4435225
396225,4435225
396255,4435225
396285,4435225
396315,4435225
396345,4435225
396375,4435225
396405,4435225
396435,4435225
396465,4435225
396495,4435225
396525,4435225
396555,4435225
396585,4435225
396615,4435225
396645,4435225
396675,4435225
396705,4435225
396735,4435225
396765,4435225
396795,4435225
396825,4435225
396855,4435225
396885,4435225
396915,4435225
396945,4435225
396975,4435225
397005,4435225
397035,4435225
397065,4435225
397095,4435225
397125,4435225
397155,4435225
397185,4435225
397215,4435225
397245,4435225
397275,4435225
397305,4435225
397335,4435225
397365,4435225
397395,4435225
397425,4435225
397455,4435225
397485,4435225
397515,4435225
397545,4435225
397575,4435225
397605,4435225
397635,4435225
397665,4435225
397695,4435225
397725,4435225
397755,4435225
397785,4435225
397815,4435225
397845,4435225
397875,4435225
397905,4435225
397935,4435225
397965,4435225
397995,4435225
398025,4435225
398055,4435225
398085,4435225
398115,4435225
398145,4435225
398175,4435225
398205,4435225
398235,4435225
398265,4435225
398295,4435225
398325,4435225
398355,4435225
398385,4435225
398415,4435225
398445,4435225
398475,4435225
398505,4435225
398535,4435225
398565,4435225
398595,4435225
398625,4435225
398655,4435225
398685,4435225
398715,4435225
398745,4435225
398775,4435225
398805,4435225
398835,4435225
398865,4435225
398895,4435225
398925,4435225
398955,4435225
398985,4435225
399015,4435225
399045,4435225
399075,4435225
399105,4435225
399135,4435225
399165,4435225
399195,4435225
399225,4435225
399255,4435225
399285,4435225
399315,4435225
399345,4435225
399375,4435225
399405,4435225
399435,4435225
399465,4435225
399495,4435225
399525,4435225
399555,4435225
399585,4435225
399615,4435225
399645,4435225
399675,4435225
399705,4435225
399735,4435225
399765,4435225
399795,4435225
399825,4435225
399855,4435225
399885,4435225
399915,4435225
399945,4435225
399975,4435225
400005,4435225
393015,4435255
393045,4435255
393075,4435255
393105,4435255
393135,4435255
393165,4435255
393195,4435255
393225,4435255
393255,4435255
393285,4435255
393315,4435255
393345,4435255
393375,4435255
393405,4435255
393435,4435255
393465,4435255
393495,4435255
393525,4435255
393555,4435255
393585,4435255
393615,4435255
393645,4435255
393675,4435255
393705,4435255
393735,4435255
393765,4435255
393795,4435255
393825,4435255
393855,4435255
393885,4435255
393915,4435255
393945,4435255
393975,4435255
394005,4435255
394035,4435255
394065,4435255
394095,4435255
394125,4435255
394155,4435255
394185,4435255
394215,4435255
394245,4435255
394275,4435255
394305,4435255
394335,4435255
394365,4435255
394395,4435255
394425,4435255
394455,4435255
394485,4435255
394515,4435255
394545,4435255
394575,4435255
394605,4435255
394635,4435255
394665,4435255
394695,4435255
394725,4435255
394755,4435255
394785,4435255
